iter	Passed	Remaining
366	1021	1762
367	1024	1759
368	1026	1755
369	1029	1752
370	1031	1749
371	1034	1746
372	1036	1742
373	1039	1739
374	1041	1736
375	1044	1733
376	1046	1729
377	1049	1726
378	1051	1723
379	1054	1720
380	1056	1717
381	1059	1714
382	1062	1710
383	1064	1707
384	1067	1704
385	1069	1701
386	1072	1698
387	1074	1694
388	1076	1691
389	1079	1688
390	1081	1685
391	1084	1682
392	1087	1678
393	1089	1675
394	1090	1670
395	1093	1667
396	1095	1664
397	1098	1661
398	1100	1657
399	1103	1654
400	1105	1651
401	1108	1648
402	1110	1645
403	1113	1642
404	1115	1639
405	1118	1636
406	1120	1632
407	1123	1629
408	1125	1626
409	1128	1623
410	1130	1620
411	1133	1617
412	1135	1613
413	1137	1610
414	1140	1607
415	1142	1604
416	1145	1601
417	1147	1598
418	1150	1594
419	1152	1591
420	1155	1588
421	1157	1585
422	1160	1582
423	1162	1579
424	1165	1576
425	1167	1573
426	1170	1570
427	1172	1567
428	1175	1564
429	1177	1561
430	1180	1558
431	1182	1555
432	1185	1552
433	1187	1548
434	1190	1546
435	1192	1543
436	1195	1540
437	1197	1536
438	1200	1533
439	1202	1530
440	1205	1527
441	1207	1524
442	1210	1521
